nranks,height,width,max_disp,radius,kernel_ms,scatter_ms,halo_ms,gather_ms,comm_ms,wall_ms
1,960,1280,64,2,33.2414,0.094022,4e-05,0.410995,0.505057,33.5513
2,960,1280,64,2,23.3748,0.752837,0.019228,0.715836,1.4879,23.4751
4,960,1280,64,2,19.4998,1.56131,0.043093,0.886035,2.49044,19.6187
1,1920,2560,64,2,113.281,1.16023,0.000131,3.29484,4.45519,113.933
2,1920,2560,64,2,71.9158,1.87769,0.022042,3.62924,5.52898,72.5409
4,1920,2560,64,2,51.9434,2.99536,0.050596,3.92433,6.97029,52.5478
