nranks,height,width,max_disp,radius,kernel_ms,scatter_ms,halo_ms,gather_ms,comm_ms,wall_ms
1,960,1280,64,2,1.94386,0.092075,4e-05,0.441408,0.533523,44.4377
2,960,1280,64,2,0.990899,0.685262,0.018595,0.585732,1.28959,24.6451
4,960,1280,64,2,0.504536,1.36621,0.04215,0.76379,2.17216,16.4288
1,1920,2560,64,2,7.90691,0.888698,0.000151,3.40103,4.28988,172.98
2,1920,2560,64,2,3.95889,1.77386,0.023204,3.64981,5.44687,89.4985
4,1920,2560,64,2,1.9669,2.73674,0.050657,3.79248,6.57988,50.6426
