nranks,height,width,max_disp,radius,kernel_ms,bcast_ms,gather_ms,comm_ms,wall_ms
1,480,640,64,2,0.436042,0.001062,0.09431,0.095372,5.65943
2,480,640,64,2,0.469597,0.505402,0.221371,0.726773,6.70604
4,480,640,64,2,0.117555,0.902216,0.356208,1.25842,7.14244
1,960,1280,64,2,1.74872,0.001143,0.407235,0.408378,21.6942
2,960,1280,64,2,1.85879,0.979203,0.664434,1.64364,23.3782
4,960,1280,64,2,1.4889,1.87951,1.07665,2.95615,23.7728
