nranks,height,width,max_disp,radius,kernel_ms,bcast_ms,gather_ms,comm_ms,wall_ms
1,480,640,64,2,0.44073,0.000962,0.121191,0.122153,5.79142
2,480,640,64,2,0.242467,0.527654,0.224817,0.752471,4.50934
4,480,640,64,2,0.129478,0.875656,0.362139,1.23779,2.96465
1,960,1280,64,2,1.74857,0.001042,0.427804,0.428846,21.6672
2,960,1280,64,2,0.905261,0.980285,0.669293,1.64958,11.9555
4,960,1280,64,2,0.463866,1.87407,1.08532,2.95939,6.90252
